index	name	abbreviation	color
89	left Primary somatosensory area, trunk, layer 4	SSp-tr4-L	1B7E62
90	left Primary somatosensory area, trunk, layer 5	SSp-tr5-L	197F60
91	left Primary somatosensory area, trunk, layer 6a	SSp-tr6a-L	188063
92	left Primary somatosensory area, trunk, layer 6b	SSp-tr6b-L	1A8063
93	left Primary somatosensory area, unassigned	SSp-un-L	1A7D64
94	left Primary somatosensory area, unassigned, layer 1	SSp-un1-L	1B8062
95	left Primary somatosensory area, unassigned, layer 2/3	SSp-un2/3-L	1C7F63
96	left Primary somatosensory area, unassigned, layer 4	SSp-un4-L	197E61
97	left Primary somatosensory area, unassigned, layer 5	SSp-un5-L	197D62
98	left Primary somatosensory area, unassigned, layer 6a	SSp-un6a-L	1A7F61
99	left Primary somatosensory area, unassigned, layer 6b	SSp-un6b-L	1A7D63
100	left Supplemental somatosensory area	SSs-L	198062
101	left Supplemental somatosensory area, layer 1	SSs1-L	1A7E62
102	left Supplemental somatosensory area, layer 2/3	SSs2/3-L	1B8063
103	left Supplemental somatosensory area, layer 4	SSs4-L	187C63
104	left Supplemental somatosensory area, layer 5	SSs5-L	1C8063
105	left Supplemental somatosensory area, layer 6a	SSs6a-L	197D63
106	left Supplemental somatosensory area, layer 6b	SSs6b-L	1A8061
107	left Gustatory areas	GU-L	019B75
108	left Gustatory areas, layer 1	GU1-L	009C75
109	left Gustatory areas, layer 2/3	GU2/3-L	009B75
110	left Gustatory areas, layer 4	GU4-L	009C74
111	left Gustatory areas, layer 5	GU5-L	019C75
112	left Gustatory areas, layer 6a	GU6a-L	009B74
113	left Gustatory areas, layer 6b	GU6b-L	019C74
114	left Visceral area	VISC-L	11AD83
115	left Visceral area, layer 1	VISC1-L	12AD83
116	left Visceral area, layer 2/3	VISC2/3-L	12AC83
117	left Visceral area, layer 4	VISC4-L	11AC82
118	left Visceral area, layer 5	VISC5-L	12AD82
119	left Visceral area, layer 6a	VISC6a-L	11AC83
120	left Visceral area, layer 6b	VISC6b-L	11AD82
121	left Auditory areas	AUD-L	019299
122	left Dorsal auditory area	AUDd-L	049399
123	left Dorsal auditory area, layer 1	AUDd1-L	039399
124	left Dorsal auditory area, layer 2/3	AUDd2/3-L	029397
125	left Dorsal auditory area, layer 4	AUDd4-L	039398
126	left Dorsal auditory area, layer 5	AUDd5-L	029398
127	left Dorsal auditory area, layer 6a	AUDd6a-L	019399
128	left Dorsal auditory area, layer 6b	AUDd6b-L	019398
129	left Laterolateral anterior visual area	VISlla-L	029099
130	left Laterolateral anterior visual area, layer 1	VISlla1-L	029299
131	left Laterolateral anterior visual area, layer 2/3	VISlla2/3-L	049398
132	left Laterolateral anterior visual area, layer 4	VISlla4-L	049299
133	left Laterolateral anterior visual area,layer 5	VISlla5-L	029296
134	left Laterolateral anterior visual area, layer 6a	VISlla6a-L	019199
135	left Laterolateral anterior visual area, layer 6b	VISlla6b-L	019297
136	left Primary auditory area	AUDp-L	039297
137	left Primary auditory area, layer 1	AUDp1-L	029297
138	left Primary auditory area, layer 2/3	AUDp2/3-L	019298
139	left Primary auditory area, layer 4	AUDp4-L	039397
140	left Primary auditory area, layer 5	AUDp5-L	039199
141	left Primary auditory area, layer 6a	AUDp6a-L	019396
142	left Primary auditory area, layer 6b	AUDp6b-L	039198
143	left Posterior auditory area	AUDpo-L	029396
144	left Posterior auditory area, layer 1	AUDpo1-L	039299
145	left Posterior auditory area, layer 2/3	AUDpo2/3-L	029199
146	left Posterior auditory area, layer 4	AUDpo4-L	039298
147	left Posterior auditory area, layer 5	AUDpo5-L	019197
148	left Posterior auditory area, layer 6a	AUDpo6a-L	029399
149	left Posterior auditory area, layer 6b	AUDpo6b-L	029298
150	left Ventral auditory area	AUDv-L	019296
151	left Ventral auditory area, layer 1	AUDv1-L	019099
152	left Ventral auditory area, layer 2/3	AUDv2/3-L	029198
153	left Ventral auditory area, layer 4	AUDv4-L	029197
154	left Ventral auditory area, layer 5	AUDv5-L	019098
155	left Ventral auditory area, layer 6a	AUDv6a-L	019397
156	left Ventral auditory area, layer 6b	AUDv6b-L	019198
157	left Visual areas	VIS-L	098489
158	left Visual areas, layer 1	VIS1-L	08828A
159	left Visual areas, layer 2/3	VIS2/3-L	0B858C
160	left Visual areas, layer 4	VIS4-L	09828A
161	left Visual areas, layer 5	VIS5-L	08818C
162	left Visual areas, layer 6a	VIS6a-L	0A838C
163	left Visual areas, layer 6b	VIS6b-L	09838A
164	left Anterolateral visual area	VISal-L	09838C
165	left Anterolateral visual area, layer 1	VISal1-L	0B838B
166	left Anterolateral visual area, layer 2/3	VISal2/3-L	098389
167	left Anterolateral visual area, layer 4	VISal4-L	088588
168	left Anterolateral visual area, layer 5	VISal5-L	08848B
169	left Anterolateral visual area, layer 6a	VISal6a-L	09828C
170	left Anterolateral visual area, layer 6b	VISal6b-L	0B848C
171	left Anteromedial visual area	VISam-L	08838B
172	left Anteromedial visual area, layer 1	VISam1-L	09848B
173	left Anteromedial visual area, layer 2/3	VISam2/3-L	0B848A
174	left Anteromedial visual area, layer 4	VISam4-L	09858A
175	left Anteromedial visual area, layer 5	VISam5-L	0A848B
176	left Anteromedial visual area, layer 6a	VISam6a-L	0A828B
177	left Anteromedial visual area, layer 6b	VISam6b-L	08838A
178	left Lateral visual area	VISl-L	0A848C
179	left Lateral visual area, layer 1	VISl1-L	09848A
180	left Lateral visual area, layer 2/3	VISl2/3-L	0A8489
181	left Lateral visual area, layer 4	VISl4-L	08828B
182	left Lateral visual area, layer 5	VISl5-L	0B858B
183	left Lateral visual area, layer 6a	VISl6a-L	08848C
184	left Lateral visual area, layer 6b	VISl6b-L	09858C
185	left Primary visual area	VISp-L	0A858C
186	left Primary visual area, layer 1	VISp1-L	098589
187	left Primary visual area, layer 2/3	VISp2/3-L	0A828C
188	left Primary visual area, layer 4	VISp4-L	0B848B
189	left Primary visual area, layer 5	VISp5-L	088389
190	left Primary visual area, layer 6a	VISp6a-L	08858C
191	left Primary visual area, layer 6b	VISp6b-L	08858A
192	left Posterolateral visual area	VISpl-L	09838B
193	left Posterolateral visual area, layer 1	VISpl1-L	0A838A
194	left Posterolateral visual area, layer 2/3	VISpl2/3-L	09848C
195	left Posterolateral visual area, layer 4	VISpl4-L	0B858A
196	left Posterolateral visual area, layer 5	VISpl5-L	0B838C
197	left Posterolateral visual area, layer 6a	VISpl6a-L	08838C
198	left Posterolateral visual area, layer 6b	VISpl6b-L	08848A
199	left posteromedial visual area	VISpm-L	0A838B
200	left posteromedial visual area, layer 1	VISpm1-L	0A8589
201	left posteromedial visual area, layer 2/3	VISpm2/3-L	08858B
202	left posteromedial visual area, layer 4	VISpm4-L	09828B
203	left posteromedial visual area, layer 5	VISpm5-L	088489
204	left posteromedial visual area, layer 6a	VISpm6a-L	09858B
205	left posteromedial visual area, layer 6b	VISpm6b-L	088589
206	left Laterointermediate area	VISli-L	0A858B
207	left Laterointermediate area, layer 1	VISli1-L	0C858C
208	left Laterointermediate area, layer 2/3	VISli2/3-L	0A858A
209	left Laterointermediate area, layer 4	VISli4-L	08828C
210	left Laterointermediate area, layer 5	VISli5-L	0A848A
211	left Laterointermediate area, layer 6a	VISli6a-L	088488
212	left Laterointermediate area, layer 6b	VISli6b-L	08818B
213	left Postrhinal area	VISpor-L	098588
214	left Postrhinal area, layer 1	VISpor1-L	09818C
215	left Postrhinal area, layer 2/3	VISpor2/3-L	0A8389
216	left Postrhinal area, layer 4	VISpor4-L	0A828A
217	left Postrhinal area, layer 5	VISpor5-L	0B838A
218	left Postrhinal area, layer 6a	VISpor6a-L	0C858B
219	left Postrhinal area, layer 6b	VISpor6b-L	0C848C
220	left Anterior cingulate area	ACA-L	40A666
221	left Anterior cingulate area, layer 1	ACA1-L	3FA565
222	left Anterior cingulate area, layer 2/3	ACA2/3-L	3FA564
223	left Anterior cingulate area, layer 5	ACA5-L	40A466
224	left Anterior cingulate area, layer 6a	ACA6a-L	3FA666
225	left Anterior cingulate area, layer 6b	ACA6b-L	3FA665
226	left Anterior cingulate area, dorsal part	ACAd-L	40A665
227	left Anterior cingulate area, dorsal part, layer 1	ACAd1-L	3EA665
228	left Anterior cingulate area, dorsal part, layer 2/3	ACAd2/3-L	40A565
229	left Anterior cingulate area, dorsal part, layer 5	ACAd5-L	3EA566
230	left Anterior cingulate area, dorsal part, layer 6a	ACAd6a-L	3FA664
231	left Anterior cingulate area, dorsal part, layer 6b	ACAd6b-L	3FA466
232	left Anterior cingulate area, ventral part	ACAv-L	40A566
233	left Anterior cingulate area, ventral part, layer 1	ACAv1-L	40A664
234	left Anterior cingulate area, ventral part, layer 2/3	ACAv2/3-L	3FA566
235	left Anterior cingulate area, ventral part, layer 5	ACAv5-L	3EA666
236	left Anterior cingulate area, ventral part, 6a	ACAv6a-L	40A564
237	left Anterior cingulate area, ventral part, 6b	ACAv6b-L	40A465
238	left Prelimbic area	PL-L	2EA750
239	left Prelimbic area, layer 1	PL1-L	2FA750
240	left Prelimbic area, layer 2	PL2-L	2EA850
241	left Prelimbic area, layer 2/3	PL2/3-L	2FA74F
242	left Prelimbic area, layer 5	PL5-L	2EA84F
243	left Prelimbic area, layer 6a	PL6a-L	2FA850
244	left Prelimbic area, layer 6b	PL6b-L	2FA84F
245	left Infralimbic area	ILA-L	59B363
246	left Infralimbic area, layer 1	ILA1-L	59B263
247	left Infralimbic area, layer 2	ILA2-L	58B363
248	left Infralimbic area, layer 2/3	ILA2/3-L	59B362
249	left Infralimbic area, layer 5	ILA5-L	59B262
250	left Infralimbic area, layer 6a	ILA6a-L	58B362
251	left Infralimbic area, layer 6b	ILA6b-L	58B263
252	left Orbital area	ORB-L	23895C
253	left Orbital area, layer 1	ORB1-L	248A5E
254	left Orbital area, layer 2/3	ORB2/3-L	24885E
255	left Orbital area, layer 5	ORB5-L	24895E
256	left Orbital area, layer 6a	ORB6a-L	23895E
257	left Orbital area, layer 6b	ORB6b-L	228A5E
258	left Orbital area, lateral part	ORBl-L	23885D
259	left Orbital area, lateral part, layer 1	ORBl1-L	238A5D
260	left Orbital area, lateral part, layer 2/3	ORBl2/3-L	238A5E
261	left Orbital area, lateral part, layer 5	ORBl5-L	228A5D
262	left Orbital area, lateral part, layer 6a	ORBl6a-L	24895D
263	left Orbital area, lateral part, layer 6b	ORBl6b-L	248A5C
264	left Orbital area, medial part	ORBm-L	22895D
265	left Orbital area, medial part, layer 1	ORBm1-L	23895D
266	left Orbital area, medial part, layer 2	ORBm2-L	24895C
267	left Orbital area, medial part, layer 2/3	ORBm2/3-L	24885D
268	left Orbital area, medial part, layer 5	ORBm5-L	23885E
269	left Orbital area, medial part, layer 6a	ORBm6a-L	22885E
270	left Orbital area, medial part, layer 6b	ORBm6b-L	24875E
271	left Orbital area, ventral part	ORBv-L	24885C
272	left Orbital area, ventrolateral part	ORBvl-L	228A5C
273	left Orbital area, ventrolateral part, layer 1	ORBvl1-L	248A5B
274	left Orbital area, ventrolateral part, layer 2/3	ORBvl2/3-L	248A5D
275	left Orbital area, ventrolateral part, layer 5	ORBvl5-L	23885C
276	left Orbital area, ventrolateral part, layer 6a	ORBvl6a-L	238A5C
277	left Orbital area, ventrolateral part, layer 6b	ORBvl6b-L	22895E
278	left Agranular insular area	AI-L	219866
279	left Agranular insular area, dorsal part	AId-L	219865
280	left Agranular insular area, dorsal part, layer 1	AId1-L	209764
281	left Agranular insular area, dorsal part, layer 2/3	AId2/3-L	209765
282	left Agranular insular area, dorsal part, layer 5	AId5-L	209665
283	left Agranular insular area, dorsal part, layer 6a	AId6a-L	209666
284	left Agranular insular area, dorsal part, layer 6b	AId6b-L	1F9766
285	left Agranular insular area, posterior part	AIp-L	219766
286	left Agranular insular area, posterior part, layer 1	AIp1-L	219765
287	left Agranular insular area, posterior part, layer 2/3	AIp2/3-L	209865
288	left Agranular insular area, posterior part, layer 5	AIp5-L	219864
289	left Agranular insular area, posterior part, layer 6a	AIp6a-L	209766
290	left Agranular insular area, posterior part, layer 6b	AIp6b-L	219666
291	left Agranular insular area, ventral part	AIv-L	209866
292	left Agranular insular area, ventral part, layer 1	AIv1-L	209864
293	left Agranular insular area, ventral part, layer 2/3	AIv2/3-L	219764
294	left Agranular insular area, ventral part, layer 5	AIv5-L	1F9865
295	left Agranular insular area, ventral part, layer 6a	AIv6a-L	1F9866
296	left Agranular insular area, ventral part, layer 6b	AIv6b-L	219665
297	left Retrosplenial area	RSP-L	1AA698
298	left Retrosplenial area, lateral agranular part	RSPagl-L	1BA497
299	left Retrosplenial area, lateral agranular part, layer 1	RSPagl1-L	1BA696
300	left Retrosplenial area, lateral agranular part, layer 2/3	RSPagl2/3-L	1AA496
301	left Retrosplenial area, lateral agranular part, layer 5	RSPagl5-L	1CA697
302	left Retrosplenial area, lateral agranular part, layer 6a	RSPagl6a-L	1CA597
303	left Retrosplenial area, lateral agranular part, layer 6b	RSPagl6b-L	1AA598
304	left Mediomedial anterior visual area	VISmma-L	1CA696
305	left Mediomedial anterior visual area, layer 1	VISmma1-L	1CA498
306	left Mediomedial anterior visual area, layer 2/3	VISmma2/3-L	1AA695
307	left Mediomedial anterior visual area, layer 4	VISmma4-L	1AA398
308	left Mediomedial anterior visual area,layer 5	VISmma5-L	1BA496
309	left Mediomedial anterior visual area, layer 6a	VISmma6a-L	1CA596
310	left Mediomedial anterior visual area, layer 6b	VISmma6b-L	1CA497
311	left Mediomedial posterior visual area	VISmmp-L	1DA698
312	left Mediomedial posterior visual area, layer 1	VISmmp1-L	1AA595
313	left Mediomedial posterior visual area, layer 2/3	VISmmp2/3-L	1AA397
314	left Mediomedial posterior visual area, layer 4	VISmmp4-L	1BA695
315	left Mediomedial posterior visual area,layer 5	VISmmp5-L	1BA398
316	left Mediomedial posterior visual area, layer 6a	VISmmp6a-L	1DA697
317	left Mediomedial posterior visual area, layer 6b	VISmmp6b-L	1DA598
318	left Medial visual area	VISm-L	1BA595
319	left Medial visual area, layer 1	VISm1-L	1BA397
320	left Medial visual area, layer 2/3	VISm2/3-L	1DA597
321	left Medial visual area, layer 4	VISm4-L	1CA496
322	left Medial visual area,layer 5	VISm5-L	1AA495
323	left Medial visual area, layer 6a	VISm6a-L	1AA396
324	left Medial visual area, layer 6b	VISm6b-L	1CA695
325	left Retrosplenial area, dorsal part	RSPd-L	1CA598
326	left Retrosplenial area, dorsal part, layer 1	RSPd1-L	1BA598
327	left Retrosplenial area, dorsal part, layer 2/3	RSPd2/3-L	1BA697
328	left Retrosplenial area, dorsal part, layer 4	RSPd4-L	1AA696
329	left Retrosplenial area, dorsal part, layer 5	RSPd5-L	1AA596
330	left Retrosplenial area, dorsal part, layer 6a	RSPd6a-L	1AA697
331	left Retrosplenial area, dorsal part, layer 6b	RSPd6b-L	1BA698
332	left Retrosplenial area, ventral part	RSPv-L	1BA596
333	left Retrosplenial area, ventral part, layer 1	RSPv1-L	1BA597
334	left Retrosplenial area, ventral part, layer 2	RSPv2-L	1CA698
335	left Retrosplenial area, ventral part, layer 2/3	RSPv2/3-L	1AA597
336	left Retrosplenial area, ventral part, layer 5	RSPv5-L	1BA498
337	left Retrosplenial area, ventral part, layer 6a	RSPv6a-L	1AA498
338	left Retrosplenial area, ventral part, layer 6b	RSPv6b-L	1AA497
339	left Posterior parietal association areas	PTLp-L	009FAC
340	left Posterior parietal association areas, layer 1	PTLp1-L	009DAB
341	left Posterior parietal association areas, layer 2/3	PTLp2/3-L	009EAC
342	left Posterior parietal association areas, layer 4	PTLp4-L	019FAA
343	left Posterior parietal association areas, layer 5	PTLp5-L	019DAC
344	left Posterior parietal association areas, layer 6a	PTLp6a-L	019FAB
345	left Posterior parietal association areas, layer 6b	PTLp6b-L	009FAA
346	left Anterior area	VISa-L	009FAB
347	left Anterior area, layer 1	VISa1-L	019FAC
348	left Anterior area, layer 2/3	VISa2/3-L	009EAB
349	left Anterior area, layer 4	VISa4-L	019EAC
350	left Anterior area, layer 5	VISa5-L	019EAB
351	left Anterior area, layer 6a	VISa6a-L	009DAC
352	left Anterior area, layer 6b	VISa6b-L	029FAC
353	left Rostrolateral visual area	VISrl-L	009EAA
354	left Rostrolateral area, layer 1	VISrl1-L	029FAB
355	left Rostrolateral area, layer 2/3	VISrl2/3-L	029EAC
356	left Rostrolateral area, layer 4	VISrl4-L	019EAA
357	left Rostrolateral area, layer 5	VISrl5-L	019DAB
358	left Rostrolateral area, layer 6a	VISrl6a-L	029EAB
359	left Rostrolateral area, layer 6b	VISrl6b-L	009DAA
360	left Temporal association areas	TEa-L	16B0B3
361	left Temporal association areas, layer 1	TEa1-L	15B0B3
362	left Temporal association areas, layer 2/3	TEa2/3-L	16AFB3
363	left Temporal association areas, layer 4	TEa4-L	15B0B2
364	left Temporal association areas, layer 5	TEa5-L	15AFB3
365	left Temporal association areas, layer 6a	TEa6a-L	15AFB2
366	left Temporal association areas, layer 6b	TEa6b-L	16B0B2
367	left Perirhinal area	PERI-L	0F9683
368	left Perirhinal area, layer 1	PERI1-L	0E9584
369	left Perirhinal area, layer 2/3	PERI2/3-L	0E9583
370	left Perirhinal area, layer 5	PERI5-L	0F9684
371	left Perirhinal area, layer 6a	PERI6a-L	0E9684
372	left Perirhinal area, layer 6b	PERI6b-L	0E9683
373	left Ectorhinal area	ECT-L	0D9E91
374	left Ectorhinal area/Layer 1	ECT1-L	0D9F90
375	left Ectorhinal area/Layer 2/3	ECT2/3-L	0D9F91
376	left Ectorhinal area/Layer 5	ECT5-L	0D9E90
377	left Ectorhinal area/Layer 6a	ECT6a-L	0E9F91
378	left Ectorhinal area/Layer 6b	ECT6b-L	0E9F90
379	left Olfactory areas	OLF-L	99D2BD
380	left Main olfactory bulb	MOB-L	9AD1BD
381	left Main olfactory bulb, glomerular layer	MOBgl-L	82C7AE
382	left Main olfactory bulb, granule layer	MOBgr-L	82C7AD
383	left Main olfactory bulb, inner plexiform layer	MOBipl-L	9AD2BD
384	left Main olfactory bulb, mitral layer	MOBmi-L	82C6AE
385	left Main olfactory bulb, outer plexiform layer	MOBopl-L	9AD2BC
386	left Accessory olfactory bulb	AOB-L	9DF0D2
387	left Accessory olfactory bulb, glomerular layer	AOBgl-L	9DF0D1
388	left Accessory olfactory bulb, granular layer	AOBgr-L	95E4C8
389	left Accessory olfactory bulb, mitral layer	AOBmi-L	9DEFD2
390	left Anterior olfactory nucleus	AON-L	54BF94
391	left Anterior olfactory nucleus, dorsal part	AONd-L	54BE94
392	left Anterior olfactory nucleus, external part	AONe-L	54BE93
393	left Anterior olfactory nucleus, lateral part	AONl-L	53BF93
394	left Anterior olfactory nucleus, medial part	AONm-L	53BE94
395	left Anterior olfactory nucleus, posteroventral part	AONpv-L	53BE93
396	left Anterior olfactory nucleus, layer 1	AON1-L	54BF93
397	left Anterior olfactory nucleus, layer 2	AON2-L	53BF94
398	left Taenia tecta	TT-L	62CF9F
399	left Taenia tecta, dorsal part	TTd-L	61D09F
400	left Taenia tecta, dorsal part, layers 1-4	TTd1-4-L	62D09F
401	left Taenia tecta, dorsal part, layer 1	TTd1-L	61D09E
402	left Taenia tecta, dorsal part, layer 2	TTd2-L	61CF9F
403	left Taenia tecta, dorsal part, layer 3	TTd3-L	61CF9E
404	left Taenia tecta, dorsal part, layer 4	TTd4-L	62D09D
405	left Taenia tecta, ventral part	TTv-L	62CF9E
406	left Taenia tecta, ventral part, layers 1-3	TTv1-3-L	62D09E
407	left Taenia tecta, ventral part, layer 1	TTv1-L	62CE9F
408	left Taenia tecta, ventral part, layer 2	TTv2-L	60D09F
409	left Taenia tecta, ventral part, layer 3	TTv3-L	62CF9D
410	left Dorsal peduncular area	DP-L	A3DAA3
411	left Dorsal peduncular area, layer 1	DP1-L	A4D9A4
412	left Dorsal peduncular area, layer 2	DP2-L	A3DAA4
413	left Dorsal peduncular area, layer 2/3	DP2/3-L	A4DAA3
414	left Dorsal peduncular area, layer 5	DP5-L	A4D9A3
415	left Dorsal peduncular area, layer 6a	DP6a-L	A4DAA4
416	left Piriform area	PIR-L	6ACAB9
417	left Piriform area, layers 1-3	PIR1-3-L	6ACBBA
418	left Piriform area, molecular layer	PIR1-L	6ACBB9
419	left Piriform area, pyramidal layer	PIR2-L	6ACABA
420	left Piriform area, polymorph layer	PIR3-L	69CBBA
421	left Nucleus of the lateral olfactory tract	NLOT-L	95E3C7
422	left Nucleus of the lateral olfactory tract, layers 1-3	NLOT1-3-L	94E4C8
423	left Nucleus of the lateral olfactory tract, molecular layer	NLOT1-L	95E4C7
424	left Nucleus of the lateral olfactory tract, pyramidal layer	NLOT2-L	95E3C8
425	left Nucleus of the lateral olfactory tract, layer 3	NLOT3-L	94E4C7
426	left Cortical amygdalar area	COA-L	60E7B5
427	left Cortical amygdalar area, anterior part	COAa-L	60E5B7
428	left Cortical amygdalar area, anterior part, layer 1	COAa1-L	61E7B7
429	left Cortical amygdalar area, anterior part, layer 2	COAa2-L	61E7B6
430	left Cortical amygdalar area, anterior part, layer 3	COAa3-L	61E6B7
431	left Cortical amygdalar area, posterior part	COAp-L	5FE7B6
432	left Cortical amygdalar area, posterior part, lateral zone	COApl-L	5FE6B7
433	left Cortical amygdalar area, posterior part, lateral zone, layers 1-2	COApl1-2-L	61E6B5
434	left Cortical amygdalar area, posterior part, lateral zone, layers 1-3	COApl1-3-L	61E5B7
435	left Cortical amygdalar area, posterior part, lateral zone, layer 1	COApl1-L	60E7B7
436	left Cortical amygdalar area, posterior part, lateral zone, layer 2	COApl2-L	61E6B6
437	left Cortical amygdalar area, posterior part, lateral zone, layer 3	COApl3-L	60E7B6
438	left Cortical amygdalar area, posterior part, medial zone	COApm-L	60E6B5
439	left Cortical amygdalar area, posterior part, medial zone, layers 1-2	COApm1-2-L	61E5B6
440	left Cortical amygdalar area, posterior part, medial zone, layers 1-3	COApm1-3-L	5FE7B7
441	left Cortical amygdalar area, posterior part, medial zone, layer 1	COApm1-L	60E6B7
442	left Cortical amygdalar area, posterior part, medial zone, layer 2	COApm2-L	60E6B6
